model_dataset_name,WrapStatsForecast - m4
model,WrapStatsForecast
dataset,m4
current_date,2023-03-15 19:10:08
training_time,12.05437239599999
Mean Absolute Error,333.9441788253709
Mean Absolute Percentage Error,0.1476566209775269
Symmetric Mean Absolute Percentage Error,0.06848549673108831
Mean Squared Error,381245.33922836935
Root Mean Squared Error,411.85766070032645
Root Mean Squared Log Error,0.16926615200243497
R-squared,-0.7065276411321262
Mean of the Residuals,-18.337990646204577
Standard Deviation of the Residuals,341.58414098520336
